text,created_at,retweet_count,favorite_count,is_retweet
https://t.co/3O0ABd3HGt,11-03-2019 22:24:47,12601,35656,false
Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in those numbers will go rapidly in the other direction. On Tuesday Vote Republican!,11-03-2019 20:23:15,17163,63712,false
"I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state elections to send a signal to D.C. that you want lower taxes a strong Military Border &amp; 2nd Amendment great healthcare and must take care of our Vets. VOTE REPUBLICAN,11-03-2019 20:18:09,20793,75549,false"
The Fake News Media is working hard so that information about the Whistleblower’s identity which may be very bad for them and their Democrat partners never reaches the Public.,11-03-2019 20:05:10,19559,74274,false
"The Democrats are Fixers and they are working overtime to FIX the Impeachment “Process” in order to hurt the Republican Party and me. Nancy Pelosi should instead Fix her broken District and Corrupt Adam should clean up &amp; manage the California forests which are always burning!,11-03-2019 18:23:41,20693,74227,false"
Fake News! https://t.co/pL9gMFvZEn,11-03-2019 16:45:08,11374,48270,false
The Angry Majority!,11-03-2019 16:41:58,16900,89765,false
Many people listened to my phone call with the Ukrainian President while it was being made. I never heard any complaints. The reason is that it was totally appropriate I say perfect. Republicans have never been more unified and my Republican Approval Rating is now 95%!,11-03-2019 16:40:52,19634,87253,false
....and FEDERAL CONTRACTOR SPIES stories. The finest law enforcement on the planet could not have shown a ROADMAP like that which was produced by you. @OANN should be VERY proud of this great work. I wish more people were seeking the facts and the truth. Keep it up!,11-03-2019 16:25:59,10917,38288,false
Thank you to @OANN for the absolutely incredible Special Report narrated by @PearsonSharp. Seldom do the American people get to see journalistic work of this quality. Now it would be great if the legitimate sections of law enforcement would study your SMEARS SPIES AND LIES....,11-03-2019 16:25:56,14552,49320,false
“Morrison testifies he saw nothing wrong with the Trump call.” @OANN,11-03-2019 16:13:59,12147,48063,false
....Matt has been a GREAT Governor. Kentucky (I Love You!) please be sure to vote for Matt Bevin on TUESDAY. Matt will never let you down and we have to send a strong signal to Nancy Pelosi and the Radical Left Democrats. See you on Monday night VOTE TUESDAY!!!,11-03-2019 15:01:01,10121,40901,false
"Walking into Madison Square Garden last night with @danawhite for the big @UFC Championship fight was a little bit like walking into a Trump Rally. Plenty of MAGA &amp; KAG present. Great energy. Fantastic job Dana! Heading to D.C. and then to Kentucky for a big @MattBevin Rally...,11-03-2019 15:01:00,14419,65692,false"
Great fight Champ! https://t.co/URRR7vnSCj,11-03-2019 14:37:51,19914,100118,false
RT @TimOBrien: UFC president Dana White has praised Trump for backing the UFC early on—including agreeing to host fights at his venues and…,11-03-2019 14:34:40,7818,0,true
The Whistleblower got it sooo wrong that HE must come forward. The Fake News Media knows who he is but being an arm of the Democrat Party don’t want to reveal him because there would be hell to pay.  Reveal the Whistleblower and end the Impeachment Hoax!,11-03-2019 14:33:45,26560,103990,false
....putting these massive and many fires out. Great firefighters! Also open up the ridiculously closed water lanes coming down from the North. Don’t pour it out into the Pacific Ocean. Should be done immediately. California desperately needs water and you can have it now!,11-03-2019 14:12:00,13722,53105,false
The Governor of California @GavinNewsom has done a terrible job of forest management. I told him from the first day we met that he must “clean” his forest floors regardless of what his bosses the environmentalists DEMAND of him. Must also do burns and cut fire stoppers.....,11-03-2019 14:11:58,21570,78533,false
